stringname,en,de
PHONENUMBERLOCATION,Phonenumber Location,Standort der Telefonnummer
IMAGEMETADATA,Image metadata,Bild Metadaten
PHONENUMBERPAGE,Phonenumber,Telefonnummer
PNINPUT,Phonenumber with Ländervorwahl,Telefonnummer mit Ländervorwahl
HOME,Home,Home
WELCOMEMESSAGE,Welcome to MyHackingLab,Wilkommen in MyHackingLab
